x,y,color,var_x,var_y,cov_xy,hits,last_seen_s
76.190335,46.888725,blue,0.000345,0.000345,0.000000,116,229.356
75.083806,61.220359,blue,0.000317,0.000317,0.000000,126,232.076
81.740667,57.696557,yellow,0.000310,0.000310,0.000000,129,230.986
75.179071,52.530798,yellow,0.000303,0.000303,0.000000,132,230.716
74.353335,51.145584,yellow,0.000351,0.000351,0.000000,114,232.266
69.410678,55.169558,orange,0.000219,0.000219,0.000000,183,257.206
74.390231,54.657556,orange,0.000303,0.000303,0.000000,132,256.216
74.678961,57.626042,orange,0.000274,0.000274,0.000000,146,231.656
74.619877,65.342192,blue,0.000272,0.000272,0.000000,147,230.636
71.895987,47.147595,yellow,0.001429,0.001429,0.000000,28,230.636
77.097736,52.133407,blue,0.000541,0.000541,0.000000,74,231.606
75.255326,49.848879,blue,0.000597,0.000597,0.000000,67,230.306
74.481633,46.977529,blue,0.000635,0.000635,0.000000,63,230.266
73.619129,52.572915,yellow,0.000263,0.000263,0.000000,152,256.316
68.334294,55.604462,orange,0.000150,0.000150,0.000000,267,257.516
72.720105,54.673315,orange,0.000400,0.000400,0.000000,100,256.486
79.682713,53.617024,blue,0.000494,0.000494,0.000000,81,231.176
73.359041,61.323512,blue,0.000519,0.000519,0.000000,77,232.246
74.165867,59.749508,blue,0.000588,0.000588,0.000000,68,232.436
77.680898,59.579612,yellow,0.000541,0.000541,0.000000,74,231.606
68.341412,58.189501,orange,0.000112,0.000112,0.000000,356,270.906
73.291448,65.340065,blue,0.001667,0.001667,0.000000,24,229.896
79.987542,57.622637,yellow,0.000345,0.000345,0.000000,116,231.166
76.217309,62.231187,yellow,0.000597,0.000597,0.000000,67,230.326
75.883616,65.183968,yellow,0.000606,0.000606,0.000000,66,230.316
72.669907,57.829254,orange,0.000482,0.000482,0.000000,83,231.876
74.440647,44.102004,blue,0.000769,0.000769,0.000000,52,230.396
76.403788,68.107856,yellow,0.000769,0.000769,0.000000,52,230.396
72.195001,51.377268,yellow,0.000541,0.000541,0.000000,74,232.496
81.705873,57.140586,big_orange,0.000625,0.000625,0.000000,64,230.716
82.031593,54.146273,blue,0.000755,0.000755,0.000000,53,230.846
82.401497,57.158714,yellow,0.000976,0.000976,0.000000,41,230.856
76.062053,52.411635,blue,0.001600,0.001600,0.000000,25,230.556
74.172767,50.059834,blue,0.001250,0.001250,0.000000,32,232.366
71.467011,54.848079,orange,0.000548,0.000548,0.000000,73,256.726
78.474255,54.135045,blue,0.000471,0.000471,0.000000,85,245.106
72.232012,61.511594,blue,0.000889,0.000889,0.000000,45,254.186
76.637925,59.859273,yellow,0.001600,0.001600,0.000000,25,230.566
80.557217,54.288438,big_orange,0.000645,0.000645,0.000000,62,230.866
78.833351,57.966235,yellow,0.001176,0.001176,0.000000,34,231.276
75.072714,62.475949,yellow,0.001379,0.001379,0.000000,29,230.616
71.543213,58.029357,orange,0.001026,0.001026,0.000000,39,231.976
71.020996,51.431717,yellow,0.000440,0.000440,0.000000,91,253.896
72.125684,60.022003,blue,0.000702,0.000702,0.000000,57,253.916
71.259067,52.878548,yellow,0.000816,0.000816,0.000000,49,254.746
79.458884,54.327793,big_orange,0.001000,0.001000,0.000000,40,230.986
77.082550,54.154056,blue,0.001111,0.001111,0.000000,36,231.226
71.353622,61.589544,blue,0.001739,0.001739,0.000000,23,254.266
73.818085,62.563405,yellow,0.002222,0.002222,0.000000,18,230.796
70.198541,55.312218,orange,0.000580,0.000580,0.000000,69,257.106
70.523422,58.117908,orange,0.001818,0.001818,0.000000,22,231.496
72.636865,50.257146,blue,0.000667,0.000667,0.000000,60,244.466
70.897577,60.153868,blue,0.000755,0.000755,0.000000,53,253.996
78.973440,57.361479,big_orange,0.000889,0.000889,0.000000,45,231.216
74.788362,60.040687,yellow,0.002500,0.002500,0.000000,16,232.376
70.141124,53.093276,yellow,0.001379,0.001379,0.000000,29,256.976
76.324749,58.019115,yellow,0.001905,0.001905,0.000000,21,231.486
75.870887,54.112696,blue,0.000976,0.000976,0.000000,41,234.186
72.506607,62.581914,yellow,0.002500,0.002500,0.000000,16,230.956
71.120035,50.321621,blue,0.001000,0.001000,0.000000,40,253.736
77.873981,57.379647,big_orange,0.001000,0.001000,0.000000,40,231.326
77.603066,54.351672,big_orange,0.001481,0.001481,0.000000,27,231.156
69.633732,60.100322,blue,0.001081,0.001081,0.000000,37,232.966
68.954321,52.590356,yellow,0.000482,0.000482,0.000000,83,257.326
75.211275,58.101530,yellow,0.003333,0.003333,0.000000,12,231.556
74.864311,54.216808,blue,0.001250,0.001250,0.000000,32,231.416
71.159816,62.546535,yellow,0.002500,0.002500,0.000000,16,254.316
76.641079,57.304530,big_orange,0.000519,0.000519,0.000000,77,234.516
69.835534,50.074622,blue,0.001176,0.001176,0.000000,34,254.046
71.916456,52.348218,blue,0.000635,0.000635,0.000000,63,256.726
76.334336,54.352065,big_orange,0.000506,0.000506,0.000000,79,234.746
75.695933,57.394119,big_orange,0.001143,0.001143,0.000000,35,231.546
69.935484,52.473833,blue,0.000556,0.000556,0.000000,72,257.116
78.381561,53.633746,blue,0.001600,0.001600,0.000000,25,244.886
72.273959,54.214459,blue,0.000500,0.000500,0.000000,80,256.706
77.003039,53.514224,blue,0.003333,0.003333,0.000000,12,231.416
71.023107,54.182799,blue,0.000234,0.000234,0.000000,171,256.906
72.960839,57.362414,big_orange,0.001111,0.001111,0.000000,36,231.786
67.915355,52.661508,blue,0.000294,0.000294,0.000000,136,257.526
68.146577,60.070576,yellow,0.001600,0.001600,0.000000,25,233.126
75.538423,53.520279,blue,0.001818,0.001818,0.000000,22,232.266
69.602050,54.270272,blue,0.000784,0.000784,0.000000,51,257.206
71.576884,57.360804,big_orange,0.000506,0.000506,0.000000,79,234.366
66.181901,52.721479,blue,0.000702,0.000702,0.000000,57,257.856
66.970841,60.027968,yellow,0.001333,0.001333,0.000000,30,254.696
74.335975,53.485416,blue,0.001379,0.001379,0.000000,29,256.196
70.788033,57.187431,big_orange,0.000404,0.000404,0.000000,99,254.156
75.987389,51.649386,blue,0.002353,0.002353,0.000000,17,232.096
76.537743,58.998583,yellow,0.002222,0.002222,0.000000,18,232.106
70.245292,54.258322,big_orange,0.000833,0.000833,0.000000,48,257.056
65.188693,52.910309,blue,0.000093,0.000093,0.000000,432,262.466
65.964845,60.640695,yellow,0.000563,0.000563,0.000000,71,254.496
69.791004,57.384962,big_orange,0.000385,0.000385,0.000000,104,254.206
72.605722,53.607921,blue,0.001212,0.001212,0.000000,33,253.716
74.988498,51.615426,blue,0.002105,0.002105,0.000000,19,232.186
